Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Pac-Man and the Ghostly Adventures 2,Plataforma,Namco Bandai Games,Namco Bandai Games,14 de outubro de 2014,14 de outubro de 2014,Não lançado,22 de novembro de 2013
Pac-Man and the Ghostly Adventures,Plataforma,Namco Bandai Games,Namco Bandai Games,29 de outubro de 2013,7 de março de 2014,Não lançado,22 de novembro de 2013
Pac-Man Championship Edition,Ação & Aventura,Bandai Namco Entertainment,Bandai Namco Entertainment,6 de junho de 2007,-,-,-
Pac-Man Championship Edition DX,Ação & Aventura,Bandai Namco Entertainment,Bandai Namco Entertainment,17 de novembro de 2010,-,-,-
Pac-Man Museum(includes nine Pac-Man games),Ação & Aventura,Bandai Namco Entertainment,Bandai Namco Entertainment,26 de fevereiro de 2014,-,-,-
Painkiller: Hell & Damnation,Tiro em primeira pessoa,The Farm 51,THQ Nordic GmbH,Não lançado,28 de junho de 2013,Não lançado,22 de novembro de 2013
Panzer General: Allied Assault,Cartas,Petroglyph Games,Ubisoft,21 de outubro de 2009,-,-,-
Paperboy,Clássico,Midway Games/Digital Eclipse,Midway Games,14 de fevereiro de 2007,-,-,-
Payday 2,"Tiro em primeira pessoa, Tiro tático","Overkill Software, Starbreeze Studios",505 Games,13 de agosto de 2013,14 de agosto de 2013,Não lançado,22 de novembro de 2013
PDC World Championship Darts 2008,Esportes,Mere Mortals,Oxygen Games,Não lançado,26 de setembro de 2008,Não lançado,Não lançado
PDC World Championship Darts Pro Tour,Esportes,Redoubt,Oxygen Games,Não lançado,26 de novembro de 2010,Não lançado,Não lançado
Peggle,Puzzle & Trivia,PopCap Games,PopCap Games,11 de março de 2009,-,-,-
Peggle 2,Puzzle & Trivia,PopCap Games,Electronic Arts,7 de maio de 2014,-,-,-
Penguins of Madagascar: Dr. Blowhole Returns - Again,-,THQ,THQ,6 de setembro de 2011,16 de setembro de 2011,TBA,TBA
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode One,RPG da ação,Hothead Games,Microsoft Studios,21 de maio de 2008,-,-,-
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode Two,RPG da ação,Hothead Games,Microsoft Studios,29 de outubro de 2008,-,-,-
Perfect Dark,Clássico,Rare/4J Studios,Microsoft Studios,17 de março de 2010,-,-,-
Perfect Dark Zero,"Tiro em primeira pessoa, Stealth",Rare,Microsoft Game Studios,22 de novembro de 2005[1],2 de dezembro de 2005,10 de dezembro de 2005,Não lançado
Persona 4 Arena,Luta,Arc System Works,Atlus,7 de agosto de 2012,7 de agosto de 2012,26 de julho de 2012,22 de novembro de 2013
Persona 4 Ultimax,Luta,Arc System Works,Atlus,13 de setembro de 2013,Não lançado,Não lançado,Não lançado
Persona 4: The Ultimate in Mayonaka Arena,Luta,Arc System Works,Atlus,7 de agosto de 2012,7 de agosto de 2012,26 de julho de 2012,22 de novembro de 2013
Peter Jackson's King Kong,Ação & Aventura,Ubisoft Montpellier,Ubisoft,22 de novembro de 2005[1],2 de dezembro de 2005,22 de dezembro de 2005,Não lançado
Phantasy Star II,Clássico,Sega/Backbone Entertainment,Sega,10 de junho de 2009,-,-,-
Phantasy Star Universe[nota 31],RPG de ação,Sonic Team,Sega,25 de outubro de 2006,24 de novembro de 2006,14 de dezembro de 2006,22 de novembro de 2013
Phantom Breaker,Luta,5pb.,5pb.,Não lançado,Não lançado,2 de junho de 2011,22 de novembro de 2013
Phantom Breaker: Battle Grounds,Ação & Aventura,5pb. Division 2,5pb.,27 de fevereiro de 2013,-,-,-
Phantom: Phantom of Inferno,Romance visual,Nitro+,Nitro+,Não lançado,Não lançado,25 de outubro de 2012,22 de novembro de 2013
Phineas and Ferb: Quest for Cool Stuff,Plataforma,Behaviour Interactive,"Majesco Entertainment, 505 Games",13 de agosto de 2013,18 de janeiro de 2014,Não lançado,22 de novembro de 2013
Pid,Ação & Aventura,Might and Delight,D3 Publisher,31 de outubro de 2012,-,-,-
Pimp My Ride,Corrida,Eutechnyx,Activision,6 de dezembro de 2006,16 de março de 2007,Não lançado,22 de novembro de 2013
"Pinball Arcade, TheThe Pinball Arcade",Clássico,FarSight Studios,Alliance Digital Media,4 de abril de 2012,-,-,-
Pinball FX,Esportes & Recreação,Zen Studios,Microsoft Studios,25 de abril de 2007,-,-,-
Pinball FX 2,Esportes & Recreação,Zen Studios,Microsoft Studios,27 de outubro de 2010,-,-,-
Pinball Hall of Fame: The Williams Collection,Simulação,FarSight Studios,Crave Entertainment,16 de setembro de 2009,16 de setembro de 2009,Não lançado,22 de novembro de 2013
Pirates of the Caribbean: At World's End,Ação & Aventura,Eurocom,Buena Vista Games,22 de maio de 2007,25 de maio de 2007,Não lançado,22 de novembro de 2013
Pirates vs. Ninjas Dodgeball,Ação & Aventura,Blazing Lizard,Gamecock Media Group,3 de setembro de 2008,-,-,-
Planet 51,Ação & Aventura,Pyro Studios,Sega,17 de novembro de 2009,17 de novembro de 2009,Não lançado,22 de novembro de 2013
Planets Under Attack,Estratégia & Simulação,Targem Games,TopWare Interactive,14 de novembro de 2012,-,-,-
Plants vs. Zombies,"Tower defense, Tiro em terceira pessoa",PopCap Games,Electronic Arts,28 de setembro de 2010,28 de setembro de 2010,Não lançado,22 de novembro de 2013
Plants vs. Zombies,Ação & Aventura,PopCap Games,PopCap Games,8 de setembro de 2010,-,-,-
Plants vs. Zombies: Garden Warfare,"Tower defense, Tiro em terceira pessoa",PopCap Games,Electronic Arts,25 de fevereiro de 2014,20 de fevereiro de 2014,4 de setembro de 2014,22 de novembro de 2013
PocketBike Racer,Corrida,Blitz Games,King Games,19 de novembro de 2006,19 de novembro de 2006,Não lançado,22 de novembro de 2013
Poker Night 2,Cartas,Telltale Games,Telltale Games,24 de abril de 2013,-,-,-
Poker Smash,Puzzle & Trivia,Void Star Creations,Microsoft Studios,6 de fevereiro de 2008,-,-,-
Polar Panic,Ação & Aventura,Eiconic Games,Valcon Games,23 de dezembro de 2009,-,-,-
Pool Nation,Esportes & Recreação,Cherry Pop Games,Mastertronic Group,31 de outubro de 2012,-,-,-
PopCap Arcade Volume 1[nota 32],Compilação,PopCap Games,PopCap Games,15 de novembro de 2007,15 de novembro de 2007,Não lançado,22 de novembro de 2013
PopCap Arcade Volume 2[nota 33],Compilação,PopCap Games,PopCap Games,27 de março de 2009,27 de março de 2009,Não lançado,22 de novembro de 2013
Port Royale 3: Pirates & Merchants,Simulação de negócios,Gaming Minds Studio,Kalypso Media,2 de outubro de 2012,7 de setembro de 2012,Não lançado,22 de novembro de 2013
Portal: Still Alive,Puzzle & Trivia,Valve Corporation,Microsoft Studios,22 de outubro de 2008,-,-,-
Portal 2,Plataforma,Valve Corporation,Electronic Arts,18 de abril de 2011,22 de abril de 2011,22 de abril de 2011,22 de novembro de 2013
Power Gig: Rise of the SixString,Música,Seven45 Studios,Seven45 Studios,19 de outubro de 2010,19 de outubro de 2010,Não lançado,22 de novembro de 2013
Power Rangers Super Samurai,-,Namco Bandai,Namco Bandai,4 de dezembro de 2012,7 de dezembro de 2012,TBA 2013,TBA 2013
PowerUp Forever,Tiro,Blitz Arcade,Bandai Namco Entertainment,10 de dezembro de 2008,-,-,-
PowerUp Heroes,-,Longtail Studios,Ubisoft,18 de outubro de 2011,7 de outubro de 2011,6 de outubro de 2011,19 de janeiro de 2012
Prey,Tiro em primeira pessoa,Human Head Studios,2K Games,11 de julho de 2006,14 de julho de 2006,28 de dezembro de 2006,22 de novembro de 2013
Prince of Persia Classic,Clássico,Gameloft,Ubisoft,13 de junho de 2007,-,-,-
Prince of Persia,"Ação & Aventura, Plataforma",Ubisoft Montreal,Ubisoft,2 de dezembro de 2008,4 de dezembro de 2008,18 de dezembro de 2008,22 de novembro de 2013
Prince of Persia: The Forgotten Sands,"Ação & Aventura, Plataforma, Hack and slash",Ubisoft,Ubisoft,11 de maio de 2010,11 de maio de 2010,11 de maio de 2010,22 de novembro de 2013
Prison Architect: Xbox 360 Edition,Estratégia & Simulação,Introversion Software/Double Eleven,Double Eleven,2 de agosto de 2016,-,-,-
Prison Break: The Conspiracy,Ação & Aventura,ZootFly,Deep Silver,30 de março de 2010,26 de março de 2010,Não lançado,22 de novembro de 2013
Pro Evolution Soccer 2008[nota 34],Esportes,Konami,Konami,11 de março de 2008,26 de outubro de 2007,22 de novembro de 2007,22 de novembro de 2013
Pro Evolution Soccer 2009[nota 35],Esportes,Konami,Konami,12 de novembro de 2008,17 de outubro de 2008,27 de novembro de 2008,22 de novembro de 2013
Pro Evolution Soccer 2010[nota 36],Esportes,Konami,Konami,3 de novembro de 2009,23 de outubro de 2009,5 de novembro de 2009,22 de novembro de 2013
Pro Evolution Soccer 2011[nota 37],Esportes,Konami,Konami,19 de outubro de 2010,8 de outubro de 2010,28 de outubro de 2010,22 de novembro de 2013
Pro Evolution Soccer 2012[nota 38],Esportes,Konami,Konami,27 de setembro de 2011,14 de outubro de 2011,Não lançado,22 de novembro de 2013
Pro Evolution Soccer 2013[nota 39],Esportes,Konami,Konami,25 de setembro de 2012,20 de setembro de 2012,4 de outubro de 2012,22 de novembro de 2013
Pro Evolution Soccer 2014[nota 40],Esportes,Konami,Konami,20 de setembro de 2013,24 de setembro de 2013,3 de outubro de 2013,22 de novembro de 2013
Pro Evolution Soccer 2015[nota 41],Esportes,Konami,Konami,11 de novembro de 2014,13 de novembro de 2014,13 de novembro de 2014,22 de novembro de 2013
Pro Evolution Soccer 2016[nota 42],Esportes,Konami,Konami,15 de setembro de 2015,17 de setembro de 2015,18 de setembro de 2015,22 de novembro de 2015
Pro Evolution Soccer 2017[nota 43],Esportes,Konami,Konami,13 de setembro de 2016,15 de setembro de 2016,15 de setembro de 2016,22 de novembro de 2016
Pro Evolution Soccer 2018[nota 44],Esportes,Konami,Konami,12 de setembro de 2017,12 de setembro de 2017,12 de setembro de 2017,12 de setembro de 2017
Pro Evolution Soccer 6[nota 45],Esportes,Konami,Konami,6 de fevereiro de 2007,27 de outubro de 2006,14 de dezembro de 2006,22 de novembro de 2013
Pro Yakyū Spirits 3,Esportes,Konami,Konami,Não lançado,Não lançado,6 de abril de 2006,22 de novembro de 2013
Project Gotham Racing 3,Corrida,Bizarre Creations,Microsoft Game Studios,22 de novembro de 2005[1],2 de dezembro de 2005,12 de janeiro de 2006,Não lançado
Project Gotham Racing 4,Corrida,Bizarre Creations,Microsoft Game Studios,2 de outubro de 2007,12 de outubro de 2007,11 de outubro de 2007,22 de novembro de 2013
Project Sylpheed,Simulador de combate espacial,Game Arts,Square Enix,10 de julho de 2007,29 de junho de 2007,28 de setembro de 2006,22 de novembro de 2013
Prototype,"Ação, Mundo aberto",Radical Entertainment,Sierra Entertainment,9 de junho de 2009,12 de junho de 2009,Não lançado,22 de novembro de 2013
Prototype 2,"Ação, Mundo aberto",Radical Entertainment,Activision,24 de abril de 2012,27 de abril de 2012,Não lançado,22 de novembro de 2013
Puddle,Puzzle & Trivia,Neko Entertainment,Konami,25 de janeiro de 2012,-,-,-
Pure,Corrida,Black Rock Studio,Disney Interactive Studios,16 de setembro de 2008,26 de setembro de 2008,25 de junho de 2009,22 de novembro de 2013
Pure Football[nota 46],Esportes,Ubisoft Vancouver,Ubisoft,1 de junho de 2010,28 de maio de 2010,Não lançado,22 de novembro de 2013
Puss in Boots,-,Blitz Games,THQ,25 de outubro de 2011,2 de dezembro de 2011,TBA,TBA
Putty Squad,Plataforma,System 3,System 3,25 de junho de 2014,-,-,-
Puzzle Arcade,Puzzle & Trivia,CTXM,Square Enix,24 de dezembro de 2008,-,-,-
Puzzle Bobble a.k.a. Bust-A-Move Live!,Puzzle & Trivia,Taito,Taito,30 de setembro de 2009,-,-,-
Puzzle Chronicles,Puzzle & Trivia,Infinite Interactive,Konami,21 de abril de 2010,-,-,-
Puzzle Quest 1Puzzle Quest: Challenge of the Warlords,Puzzle & Trivia,Infinite Interactive,D3 Publisher,10 de outubro de 2007,-,-,-
Puzzle Quest 2,Puzzle & Trivia,Infinite Interactive,D3 Publisher,30 de junho de 2010,-,-,-
Puzzle Quest: Galactrix,Puzzle & Trivia,Infinite Interactive,D3 Publisher,8 de abril de 2009,-,-,-
Puzzlegeddon,Puzzle & Trivia,Pieces Interactive,Tecmo,16 de dezembro de 2009,-,-,-
Qix++,Ação & Aventura,Taito,Taito,9 de dezembro de 2009,-,-,-
Quake 4[nota 47],Tiro em primeira pessoa,Raven Software,Activision,22 de novembro de 2005[1],2 de dezembro de 2005,Não lançado,Não lançado
Quake Arena Arcade,Ação & Aventura,id Software/Pi Studios,Bethesda Softworks,15 de dezembro de 2010,-,-,-
Quantum Conundrum,Puzzle & Trivia,Airtight Games,Square Enix,11 de julho de 2012,-,-,-
Quantum Theory,Tiro em terceira pessoa,Team Tachyon,Tecmo,28 de setembro de 2010,24 de setembro de 2010,30 de setembro de 2010,22 de novembro de 2013
Quarrel,Família & Educacional,Denki,UTV Ignition Games,25 de janeiro de 2012,-,-,-
Qubed[nota 48],"Shoot 'em up, Puzzle",Q Entertainment,Atari,15 de setembro de 2009,18 de setembro de 2009,Não lançado,22 de novembro de 2013
R.B.I. Baseball 14,Esportes & Recreação,Behaviour Interactive,MLB Advanced Media,9 de abril de 2014,Não lançado,Não lançado,Não lançado
R.I.P.D. Rest in Peace Department the Game,Tiro,Saber Interactive,Atlus,17 de julho de 2013,-,-,-
R.U.S.E.,Estratégia em tempo real,Eugen Systems,Ubisoft,7 de setembro de 2010,10 de setembro de 2010,Não lançado,9 de setembro de 2010
Rabbids Invasion: The Interactive TV Show,Jogo em grupo,Ubisoft,Ubisoft,4 de novembro de 2014,4 de novembro de 2014,Não lançado,22 de novembro de 2013
Race Driver: Grid,Corrida,Codemasters,Codemasters,3 de junho de 2008,30 de maio de 2008,15 de janeiro de 2009,22 de novembro de 2013
GRID (a.k.a. Race Driver: GRIDEU),Corrida,Codemasters Southam,Codemasters,3 de junho de 2008,30 de maio de 2008,Não lançado,12 de junho de 2008
Race Pro,Corrida,Sector3 Studios,Atari,17 de fevereiro de 2009,janeiro de 2009,Não lançado,22 de novembro de 2013
Radiant Silvergun,Tiro,Treasure,Microsoft Studios,14 de setembro de 2011,-,-,-
Radirgy Noa Massive,Shoot 'em up,MileStone Inc.,MileStone Inc.,Não lançado,Não lançado,28 de outubro de 2010,22 de novembro de 2013
Rage,"Tiro em primeira pessoa, Corria, Mundo aberto",Id Software,Bethesda Softworks,4 de outubro de 2011,7 de outubro de 2011,6 de outubro de 2011,22 de novembro de 2013
Raiden Fighters Aces,Compilação,GULTI Co Ltd,Success Corporation,7 de maio de 2009,Não lançado,27 de março de 2008,Não lançado
Raiden IV,Shoot 'em up,MOSS,Taito,8 de setembro de 2009,Não lançado,11 de setembro de 2008,Não lançado
Rainbow Islands: Towering Adventure!,Plataforma,Taito,Taito,28 de outubro de 2009,-,-,-
Rambo: The Video Game,"Tiro em primeira pessoa, Ação e aventura, Stealth",Teyon,Reef Entertainment,Não lançado,Não lançado,21 de fevereiro de 2014,22 de novembro de 2013
Rango,Ação & Aventura,Behaviour Interactive,"Electronic Arts, Paramount Digital Entertainment",1 de março de 2011,1 de março de 2011,Não lançado,22 de novembro de 2013
Rapala Fishing Frenzy 2009,Caça/Pesca,FUN Labs,Activision,2 de setembro de 2008,17 de outubro de 2008,Não lançado,22 de novembro de 2013
Rapala for Kinect,-,Activision,Activision,15 de novembro de 2011,18 de novembro de 2011,TBA,TBA
Rapala Pro Bass Fishing,Caça/Pesca,FUN Labs,Activision,24 de setembro de 2010,28 de setembro de 2010,Não lançado,22 de novembro de 2013
Rapala Tournament Fishing,Caça/Pesca,Activision,Activision,21 de novembro de 2006,16 de março de 2007,Não lançado,22 de novembro de 2013
Raskulls,Família & Educacional,Halfbrick Studios,Microsoft Studios,29 de dezembro de 2010,-,-,-
Ratatouille,Ação,Heavy Iron Studios,THQ,26 de junho de 2007,28 de setembro de 2007,Não lançado,22 de novembro de 2013
Raven Squad: Operation Hidden Dagger,"RTS, Tiro em primeira pessoa",Atomic Motion,"Evolved, SouthPeak GamesEU",25 de agosto de 2009,18 de setembro de 2009,Não lançado,22 de novembro de 2013
"Raven, TheThe Raven: Legacy of a Master Thief - Chapter I: The Eye of the Sphinx",Ação & Aventura,King Art Games,THQ Nordic GmbH,4 de dezembro de 2013,-,-,-
Raven's Cry,"Ação & Aventura, RPG eletrônico",Reality Pump Studios,TopWare Interactive,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Raving Rabbids: Alive & Kicking,-,"Ubisoft Milan, Ubisoft Paris",Ubisoft,8 de novembro de 2011,4 de novembro de 2011,3 de novembro de 2011,TBA
Rayman 3 HD,Ação & Aventura,Ubisoft Shanghai,Ubisoft,21 de março de 2012,-,-,-
Rayman Legends,Plataforma,Ubisoft Montpellier,Ubisoft,3 de setembro de 2013,30 de agosto de 2013,Não lançado,22 de novembro de 2013
Rayman Origins,Plataforma,Ubisoft Montpellier,Ubisoft,15 de outubro de 2011,24 de outubro de 2011,Não lançado,22 de novembro de 2013
Rayman Raving Rabbids,Jogo em grupo,Ubisoft Montpellier,Ubisoft,24 de abril de 2007,5 de abril de 2007,Não lançado,22 de novembro de 2013
RayStorm HD,Tiro,Taito,Taito,5 de maio de 2010,-,-,-
Real Steel,Luta,Yuke's,Yuke's,12 de outubro de 2011,-,-,-
