Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
0 Day Attack on Earth,Tiro,Gulti,Square Enix,23 de dezembro de 2009,-,-,-
007 Legends,Tiro em primeira pessoa,Eurocom,Activision,16 de outubro de 2012,19 de outubro de 2012,Não lançado,31 de outubro de 2012
007: Quantum of Solace,Tiro em primeira pessoa,Treyarch,Activision,4 de novembro de 2008,31 de outubro de 2008,26 de março de 2009,19 de novembro de 2008
0-D Beat Drop,Puzzle & Trivia,Cyclone Zero,Arc System Works,11 de novembro de 2009,-,-,-
1 vs. 100,Jogo em grupo,Microsoft Studios,Microsoft Studios,19 de novembro de 2009,-,-,-
11eyes CrossOver,Romance visual,Lass,5pb.,Não lançado,Não lançado,2 de abril de 2009,Não lançado
1942: Joint Strike,Ação & Aventura,Backbone Entertainment,Capcom,23 de julho de 2008,-,-,-
2006 FIFA World Cup,Esportes,EA Canada,EA Sports,24 de abril de 2006,28 de abril de 2006,27 de abril de 2006,Não lançado
2010 FIFA World Cup South Africa,Esportes,EA Canada,EA Sports,27 de abril de 2010,30 de abril de 2010,13 de maio de 2010,29 de abril de 2010
2014 FIFA World Cup Brazil,Esportes,EA Canada,EA Sports,15 de abril de 2014,17 de abril de 2014,24 de abril de 2014,17 de abril de 2014
3 on 3 NHL Arcade,Esportes & Recreação,EA Canada,Electronic Arts,11 de fevereiro de 2009,-,-,-
3D Ultra Minigolf Adventures,Esportes & Recreação,Wanako Games,Vivendi Games,18 de abril de 2007,-,-,-
3D Ultra Minigolf Adventures 2,Esportes & Recreação,Wanako Games,Konami,27 de outubro de 2010,-,-,-
50 Cent: Blood on the Sand,Tiro em terceira pessoa,Swordfish Studios,THQ,24 de fevereiro de 2009,20 de fevereiro de 2009,23 de julho de 2009,26 de fevereiro de 2009
A Kingdom for Keflings,Estratégia & Simulação,NinjaBee,Microsoft Studios,19 de novembro de 2008,-,-,-
A World of Keflings,Estratégia & Simulação,NinjaBee,Microsoft Studios,22 de dezembro de 2010,-,-,-
A.R.E.S.: Extinction Agenda EX,Ação & Aventura,Extend Studio,Aksys Games,2 de outubro de 2013,-,-,-
Absolute: Blazing Infinity,RPG tático,Idea Factory,Idea Factory,Não lançado,Não lançado,29 de março de 2007,Não lançado
Abyss Odyssey,Ação & Aventura,ACE Team,Atlus,16 de julho de 2014,-,-,-
AC/DC Live: Rock Band Track Pack,Música,Harmonix,MTV Games,2 de novembro de 2008,19 de dezembro de 2008,Não lançado,18 de dezembro de 2008
Ace Combat 6: Fires of Liberation,Simulador de combate aéreo,Namco Bandai Games,"Namco Bandai Games, AtariEU",23 de outubro de 2007,23 de novembro de 2007,1 de novembro de 2007,13 de dezembro de 2007
Ace Combat: Assault Horizon,Simulador de combate aéreo,Namco Bandai Games,Namco Bandai Games,11 de outubro de 2011,14 de outubro de 2011,13 de outubro de 2011,13 de outubro de 2011
Aces of the Galaxy,Ação & Aventura,Artech Digital Entertainment,Vivendi Games,4 de junho de 2008,-,-,-
"Action Packed Bundle(Bloodforge, Dungeon Fighter LIVE: Fall of Hendon Myre, Islands of Wakfu, The Dishwasher: Vampire Smile e Unbound Saga)",Ação & Aventura,Misc,Microsoft Studios,19 de julho de 2013,-,-,-
Adidas miCoach,Esportes,Lightning Fish,505 Games,24 de julho de 2012,13 de julho de 2012,26 de julho de 2012,TBA 2012
Adrenalin Misfits,Esportes,Konami,Konami,4 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,20 de novembro de 2010
Alex Adventure: Robot Rampage,Plataforma,Behaviour Interactive,"Majesco Entertainment, 505 Games",13 de agosto de 2013,18 de janeiro de 2014,-,22 de novembro de 2013
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Ação & Aventura,WayForward Technologies,D3 Publisher,19 de novembro de 2013,15 de novembro de 2013,Não lançado,14 de novembro de 2013
Adventure Time: Finn & Jake Investigations,Ação & Aventura,Vicious Cycle Software,Little Orbit,20 de outubro de 2015,6 de novembro de 2015,Não lançado,5 de novembro de 2015
Adventure Time: The Secret of the Nameless Kingdom,Ação & Aventura,WayForward Technologies,Little Orbit,18 de novembro de 2014,28 de novembro de 2014,Não lançado,20 de novembro de 2014
Adventures of ShuggyThe Adventures of Shuggy,Ação & Aventura,Smudged Cat Games,Valcon Games,15 de junho de 2012,-,-,-
Aegis Wing,Ação & Aventura,Carbonated Games,Microsoft Studios,16 de maio de 2007,-,-,-
AFL Live,Esportes,Big Ant Studios,Tru Blu Entertainment,Não lançado,29 de maio de 2011,Não lançado,21 de abril de 2011
AFL Live 2,Esportes,Wicked Witch Software,Tru Blu Entertainment,Não lançado,Não lançado,Não lançado,12 de setembro de 2013
Afro Samurai,Ação,Namco Bandai Games,Namco Bandai Games,27 de janeiro de 2009,27 de março de 2009,Não lançado,2 de abril de 2009
After Burner Climax,Tiro,Sega,Sega,21 de abril de 2010,-,-,-
Age of Booty,Estratégia & Simulação,Certain Affinity,Capcom,15 de outubro de 2008,-,-,-
Air Conflicts: Pacific Carriers,Simulador de combate aéreo,Games Farm,bitComposer,Não lançado,7 de dezembro de 2012,Não lançado,26 de setembro de 2012
Air Conflicts: Secret Wars,Simulador de combate aéreo,Games Farm,bitComposer,28 de setembro de 2011,8 de julho de 2011,Não lançado,4 de agosto de 2011
Air Conflicts: Vietnam,Simulador de combate aéreo,Kalypso Media,Kalypso Media,15 de outubro de 2013,15 de outubro de 2013,12 de setembro de 2013,15 de outubro de 2013
AirMech Arena,Ação & Aventura,Carbon Games,Ubisoft,30 de julho de 2014,-,-,-
Akai Katana Shin,Shoot 'em up,Cave,Cave,15 de maio de 2012,11 de maio de 2012,26 de maio de 2011,28 de agosto de 2012
Akatsuki no Amaneka to Aoi Kyojin,Ação & Aventura,CyberFront Corporation,CyberFront Corporation,Não lançado,Não lançado,28 de junho de 2011,Não lançado
Alan Wake,Tiro em terceira pessoa,Remedy Entertainment,Microsoft Game Studios,18 de maio de 2010,14 de maio de 2010,27 de maio de 2010,20 de maio de 2010
Alan Wake's American Nightmare,Ação & Aventura,Remedy Entertainment,Microsoft Studios,22 de fevereiro de 2012,-,-,-
Alice: Madness Returns,Ação & Aventura,Spicy Horse,Electronic Arts,14 de junho de 2011,17 de junho de 2011,21 de julho de 2011,16 de junho de 2011
Alien Breed Episode 2: Assault,Tiro,Team17,Microsoft Studios,22 de setembro de 2010,-,-,-
Alien Breed Episode 3: Descent,Tiro,Team17,Microsoft Studios,17 de novembro de 2010,-,-,-
Alien Breed Episode 1: Evolution,Tiro,Team17,Microsoft Studios,16 de dezembro de 2009,-,-,-
Alien Breed Trilogy[nota 1],Shoot 'em up,Team17,Mastertronic,Não lançado,25 de março de 2011,Não lançado,31 de março de 2011
Alien Hominid HD,Ação & Aventura,The Behemoth,Microsoft Studios,28 de fevereiro de 2007,-,-,-
Alien Rage,Tiro,CI Games,CI Games,18 de outubro de 2013,-,-,-
Alien Spidy,Ação & Aventura,Enigma Software Productions,Kalypso Media,20 de março de 2013,-,-,-
Alien: Isolation,Survival horror,The Creative Assembly,Sega,7 de outubro de 2014,7 de outubro de 2014,Não lançado,7 de outubro de 2014
Aliens vs. Predator,Tiro em primeira pessoa,Rebellion Developments,Sega,16 de fevereiro de 2010,19 de fevereiro de 2010,Não lançado,18 de fevereiro de 2010
Aliens: Colonial Marines,Tiro em primeira pessoa,Gearbox Software,Sega,12 de fevereiro de 2013,12 de fevereiro de 2013,Não lançado,12 de fevereiro de 2013
All Round Hunter[nota 2],Caça/Pesca,Beast Studios,505 Games,25 de junho de 2010,25 de junho de 2010,Não lançado,Não lançado
All Zombies Must Die!,Ação & Aventura,Doublesix,Square Enix,27 de dezembro de 2011,4 de janeiro de 2012,-,-
All-Pro Football 2K8,Esportes,Visual Concepts,2K Sports,16 de julho de 2007,Não lançado,Não lançado,Não lançado
Alone in the Dark,Survival horror,Eden Games,Atari,23 de junho de 2008,20 de junho de 2008,25 de dezembro de 2008,26 de junho de 2008
Alpha Protocol,RPG de ação,Obsidian Entertainment,Sega,1 de junho de 2010,28 de maio de 2010,Não lançado,27 de maio de 2010
Altered Beast,Clássico,Backbone Entertainment,Sega,10 de junho de 2009,-,-,-
Alvin and the Chipmunks: Chipwrecked,Música,Behaviour Interactive,"Majesco Entertainment, 505 Games",15 de novembro de 2011,5 de abril de 2012,TBA,TBA
American Mensa Academy,Puzzle & Trivia,Silverball Studios,Square Enix,12 de dezembro de 2012,-,-,-
America's Army: True Soldiers,Tiro tático,Red Storm Entertainment,Ubisoft,15 de novembro de 2007,Não lançado,Não lançado,Não lançado
Amped 3,Esportes,Indie Built,2K Sports,22 de novembro de 2005[1],2 de dezembro de 2005,Não lançado,23 de março de 2006
Amy,Ação & Aventura,VectorCell,Lexis Numérique,11 de janeiro de 2012,-,-,-
Anarchy Reigns,Beat 'em up,PlatinumGames,Sega,8 de janeiro de 2013,11 de janeiro de 2013,5 de julho de 2012,10 de janeiro de 2011
Ancients of Ooga,Plataforma,NinjaBee,Microsoft Studios,30 de junho de 2010,-,-,-
Angry Birds Star Wars,Puzzle,"Rovio Entertainment, Exient Entertainment",Activision,29 de outubro de 2013,1 de novembro de 2013,8 de novembro de 2013,Não lançado
Angry Birds Trilogy,Puzzle,Rovio Entertainment,Activision,25 de setembro de 2012,28 de setembro de 2012,Não lançado,14 de novembro de 2012
Anna: Extended Edition,Ação & Aventura,Dreampainters,Kasedo Games,26 de setembro de 2014,-,-,-
Anomaly: Warzone Earth,Estratégia & Simulação,11 bit studios,Microsoft Studios,6 de abril de 2012,-,-,-
Apache: Air Assault,Simulador de combate aéreo,Gaijin Entertainment,Activision,16 de novembro de 2010,19 de novembro de 2010,Não lançado,23 de fevereiro de 2011
Apocalypse: Desire Next,Estratégia,Idea Factory,Idea Factory,Não lançado,Não lançado,29 de novembro de 2007,Não lançado
Apples to Apples,Puzzle & Trivia,ImaginEngine,THQ,7 de dezembro de 2011,-,-,-
Aqua,Ação & Aventura,Games Distillery,Microsoft Studios,18 de maio de 2010,-,-,-
AquaZone: Life Simulator,Simulação,Frontier Groove,Frontier Groove,Não lançado,Não lançado,14 de setembro de 2006,Não lançado
Arcana Heart 3,Luta,Examu,Arc System Works,Não lançado,19 de agosto de 2011,13 de janeiro de 2011,Não lançado
Arcania: Gothic 4,RPG de ação,Spellbound Entertainment,JoWood,19 de outubro de 2010,29 de outubro de 2010,24 de março de 2011,21 de novembro de 2010
Are You Smarter Than a 5th Grader?: Make the Grade,Família & Educacional,Blitz Games,THQ,29 de outubro de 2008,-,-,-
Arkadian Warriors,Ação & Aventura,Wanako Games,Activision,12 de dezembro de 2007,-,-,-
Arkanoid Live!,Puzzle & Trivia,Taito,Taito,6 de maio de 2009,-,-,-
Armored Core 4,Combate veicular,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP",20 de março de 2007,22 de junho de 2007,22 de março de 2007,28 de junho de 2007
Armored Core V,Combate veicular,FromSoftware,Namco Bandai Games America,20 de março de 2012,23 de março de 2012,26 de janeiro de 2012,22 de março de 2012
Armored Core: For Answer,Combate veicular,FromSoftware,Sega,16 de setembro de 2008,28 de novembro de 2008,19 de março de 2008,27 de novembro de 2008
Armored Core: Verdict Day,Combate veicular,FromSoftware,Namco Bandai,24 de setembro de 2013,27 de setembro de 2013,26 de setembro de 2013,26 de setembro de 2013
Army of Two,Tiro em terceira pessoa,EA Montreal,Electronic Arts,6 de março de 2008,7 de março de 2008,19 de março de 2008,13 de março de 2008
Army of Two: The 40th Day,Tiro em terceira pessoa,EA Montreal,Electronic Arts,12 de janeiro de 2010,15 de janeiro de 2010,25 de março de 2010,14 de janeiro de 2010
Army of Two: The Devil's Cartel,Tiro em terceira pessoa,Visceral Games,Electronic Arts,26 de março de 2013,28 de março de 2013,28 de março de 2013,28 de março de 2013
Ascend: Hand of Kul,Ação & Aventura,Signal Studios,Microsoft Studios,25 de setembro de 2013,-,-,-
Ashes Cricket 2009,Esportes,Transmission Games,Codemasters,Não lançado,8 de julho de 2009,Não lançado,13 de julho de 2009
Assassin's Creed,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,13 de novembro de 2007,16 de novembro de 2007,29 de novembro de 2007,21 de novembro de 2007
Assassin's Creed II,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,17 de novembro de 2009,20 de novembro de 2009,3 de dezembro de 2009,19 de novembro de 2007
Assassin's Creed III,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,30 de novembro de 2012,31 de outubro de 2012,15 de novembro de 2012,31 de outubro de 2012
Assassin's Creed: Liberation HD,Ação & Aventura,Ubisoft Sofia,Ubisoft,15 de janeiro de 2014,-,-,-
Assassin's Creed IV: Black Flag,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,29 de outubro de 2013,29 de outubro de 2013,28 de novembro de 2013,29 de outubro de 2013
Assassin's Creed Rogue,"Ação & Aventura, Stealth",Ubisoft Sofia,Ubisoft,11 de novembro de 2014,14 de novembro de 2014,Não lançado,13 de novembro de 2014
Assassin's Creed: Brotherhood,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,16 de novembro de 2010,19 de novembro de 2010,9 de dezembro de 2010,18 de novembro de 2010
Assassin's Creed: Revelations,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,15 de novembro de 2011,15 de novembro de 2011,1 de dezembro de 2011,15 de novembro de 2011
Assault Heroes,Ação & Aventura,Wanako Games,Microsoft Studios,13 de dezembro de 2006,-,-,-
Assault Heroes 2,Ação & Aventura,Wanako Games,Vivendi Games,14 de maio de 2008,-,-,-
Asterix at the Olympic Games,Esportes,Étranges Libellules,Atari,Não lançado,22 de agosto de 2008,Não lançado,Não lançado
Asteroids/Asteroids Deluxe,Clássico,Stainless Games,Atari,28 de novembro de 2007,-,-,-
AstroPop,Puzzle & Trivia,PopCap Games,Microsoft Studios,22 de março de 2006,-,-,-
Asura's Wrath,Ação & Beat 'em up,CyberConnect2,Capcom,21 de fevereiro de 2012,9 de março de 2012,23 de fevereiro de 2012,23 de fevereiro de 2012
A-Train HX,Simulador de trem,Artdink,"505 GamesEU, ArtdinkJP",Não lançado,7 de março de 2008,21 de dezembro de 2006,28 de fevereiro de 2008
Avatar: The Last Airbender – The Burning Earth[nota 3],Ação & Aventura,THQ,THQ,19 de novembro de 2007,16 de novembro de 2007,Não lançado,29 de novembro de 2007
Awesomenauts,Plataforma,Ronimo Games,DTP Entertainment,2 de maio de 2012,-,-,-
Axel & Pixel,Família & Educacional,Silver Wish Games,2K Games,14 de outubro de 2009,-,-,-
Babel Rising,Kinect,Mando Productions,Ubisoft,13 de junho de 2012,-,-,-
Back to the Future: The Game,Aventura gráfica,Telltale Games,Telltale Games,13 de outubro de 2015,Não lançado,Não lançado,23 de outubro de 2010
Backbreaker,Esportes,NaturalMotion,505 Games,1 de junho de 2010,4 de junho de 2010,Não lançado,3 de junho de 2010
Backbreaker: Vengeance,Esportes & Recreação,NaturalMotion,505 Games,29 de junho de 2011,-,-,-
Backyard Football 2010,Esportes,Farsight Studios,Atari,20 de outubro de 2009,Não lançado,Não lançado,Não lançado
Backyard Sports: Rookie Rush,Esportes,HB Studios,Atari,20 de outubro de 2010,Não lançado,Não lançado,Não lançado
Backyard Sports: Sandlot Sluggers,Esportes,HB Studios,Atari,25 de maio de 2010,Não lançado,Não lançado,Não lançado
Baja: Edge of Control,Corrida,2XL Games,THQ,22 de setembro de 2008,26 de setembro de 2008,Não lançado,25 de setembro de 2008
Bakugan Battle Brawlers,Ação,NOW Production,Activision,20 de outubro de 2009,23 de outubro de 2009,Não lançado,28 de outubro de 2009
Bakugan: Defenders of the Core,Ação,NOW Production,Activision,26 de outubro de 2010,29 de outubro de 2010,Não lançado,27 de outubro de 2010
Band Hero,Música,Neversoft,Activision,3 de novembro de 2009,6 de novembro de 2009,Não lançado,25 de novembro de 2009
Band of Bugs,Estratégia & Simulação,NinjaBee,Microsoft Studios,20 de junho de 2007,-,-,-
BandFuse: Rock Legends,Música,Realta Entertainment Group,Mastiff,19 de novembro de 2013,Não lançado,19 de dezembro de 2013,Não lançado
Bang Bang Racing,Corrida & Voo,Digital Reality,Digital Reality,6 de junho de 2012,-,-,-
Bangai-O HD: Missile Fury,Tiro,Treasure,D3 Publisher,4 de maio de 2011,-,-,-
Banjo Games Bundle(Banjo-Kazooie e Banjo-Tooie),Ação & Aventura,Rare/4J Studios,Microsoft Studios,9 de julho de 2014,-,-,-
Banjo-Kazooie,Clássico,Rare/4J Studios,Microsoft Studios,3 de dezembro de 2008,-,-,-
Banjo-Kazooie: Nuts & Bolts,Plataforma & Construção e gerenciamento,Rare,Microsoft Game Studios,12 de novembro de 2008,14 de novembro de 2008,11 de dezembro de 2008,20 de novembro de 2008
Banjo-Tooie,Clássico,Rare/4J Studios,Microsoft Studios,29 de abril de 2009,-,-,-
Bankshot Billiards 2,Esportes & Recreação,PixelStorm,Microsoft Studios,22 de novembro de 2005,-,-,-
Barbie and Her Sisters: Puppy Rescue,Jogo em grupo,Little Orbit,Little Orbit,3 de novembro de 2015,6 de novembro de 2015,Não lançado,5 de novembro de 2015
Bass Pro Shops: The Strike,Caça/Pesca,Piranha Games,XS Games,6 de outubro de 2009,Não lançado,Não lançado,Não lançado
Bass Pro Shops: The Hunt,Caça/Pesca,Piranha Games,XS Games,2 de junho de 2010,Não lançado,Não lançado,Não lançado
Bastion,RPG da ação,Supergiant Games,Warner Bros. Interactive Entertainment,20 de julho de 2011,-,-,-
Batman: Arkham Asylum,Ação & Aventura,Rocksteady Studios,Warner Bros. Interactive Entertainment,25 de agosto de 2009,28 de agosto de 2009,14 de janeiro de 2010,3 de setembro de 2009
Batman: Arkham City,Ação & Aventura,Rocksteady Studios,Warner Bros. Interactive Entertainment,18 de outubro de 2011,21 de outubro de 2011,23 de novembro de 2011,19 de outubro de 2011
Batman: Arkham Origins,Ação & Aventura,WB Games Montréal,Warner Bros. Interactive Entertainment,25 de outubro de 2013,25 de outubro de 2013,5 de dezembro de 2013,25 de outubro de 2013
Batman: Arkham Origins Blackgate - Deluxe Edition,Ação & Aventura,Armature Studio,Warner Bros. Interactive Entertainment,1 de abril de 2014,-,-,-
Batman: The Telltale Series,Aventura gráfica,Telltale Games,Telltale Games,13 de setembro de 2016,16 de setembro de 2016,Não lançado,28 de setembro de 2016
Batman: The Telltale Series,Ação & Aventura,Telltale Games,Telltale Games,13 de setembro de 2016,-,-,-
Battle Academy,Estratégia & Simulação,Slitherine Software,Slitherine Software,12 de dezembro de 2014,-,-,-
Battle Fantasia,Luta,Arc System Works,Arc System Works,16 de setembro de 2008,6 de março de 2009,29 de maio de 2008,Não lançado
Battle vs. Chess,Jogo de tabuleiro,"TopWare Interactive, Gaijin Entertainment",SouthPeak Games,Não lançado,11 de maio de 2011,Não lançado,Não lançado
Battle: Los Angeles,Ação & Aventura,Live Action Studios,Konami,11 de março de 2011,-,-,-
BattleBlock Theater,Ação & Aventura,The Behemoth,Microsoft Studios,3 de abril de 2013,-,-,-
Battlefield 1943,Tiro em primeira pessoa,DICE,Electronic Arts,8 de julho de 2009,-,-,-
Battlefield 2: Modern Combat,Tiro em primeira pessoa,DICE,Electronic Arts,11 de abril de 2006,13 de abril de 2006,27 de abril de 2006,Não lançado
Battlefield 3,Tiro em primeira pessoa,DICE,Electronic Arts,25 de outubro de 2011,28 de outubro de 2011,2 de novembro de 2011,27 de outubro de 2011
Battlefield 4,Tiro em primeira pessoa,DICE,Electronic Arts,29 de outubro de 2013,1 de novembro de 2013,7 de novembro de 2013,31 de outubro de 2013
Battlefield Hardline,Tiro em primeira pessoa,Visceral Games,Electronic Arts,17 de março de 2015,20 de março de 2015,19 de março de 2015,19 de março de 2015
Battlefield: Bad Company,Tiro em primeira pessoa,DICE,Electronic Arts,23 de junho de 2008,27 de junho de 2008,26 de junho de 2008,26 de junho de 2008
Battlefield: Bad Company 2,Tiro em primeira pessoa,DICE,Electronic Arts,2 de março de 2010,5 de março de 2010,11 de março de 2010,4 de março de 2010
Battleship,Tiro em primeira pessoa,Double Helix Games,Activision,15 de maio de 2012,20 de abril de 2012,Não lançado,18 de abril de 2012
Battlestations: Midway,"Ação, RTT",Eidos Interactive,"Eidos Interactive, Spike JP",30 de janeiro de 2007,9 de fevereiro de 2007,7 de fevereiro de 2008,16 de fevereiro de 2007
Battlestations: Pacific,"Ação, RTT",Eidos Interactive,Eidos Interactive,12 de maio de 2009,15 de maio de 2009,21 de maio de 2009,28 de maio de 2009
Battlezone,Clássico,Stainless Games,Atari,16 de abril de 2008,-,-,-
Bayonetta,"Ação, Hack and slash",PlatinumGames,Sega,5 de janeiro de 2010,8 de janeiro de 2010,29 de outubro de 2009,7 de janeiro de 2010
"Be a Hero Bundle(Fire Pro Wrestling, South Park Let's Go Tower Defense Play! e Torchlight)",Ação & Aventura,Misc,Microsoft Studios,26 de julho de 2013,-,-,-
Beat'n Groovy,Ação & Aventura,"Voltex, Inc.",Konami,8 de outubro de 2008,-,-,-
Beautiful Katamari[nota 4],"Puzzle, Ação, Tiro em terceira pessoa",Namco Bandai Games,Namco Bandai Games,16 de outubro de 2007,29 de fevereiro de 2008,18 de outubro de 2007,7 de março de 2008
"Beautiful Puzzle Pack(Ilomilo, Insanely Twisted Shadow Planet,Lazy Raiders e The Splatters)",Puzzle & Trivia,Misc,Microsoft Studios,15 de julho de 2013,-,-,-
Bee Movie Game,"Ação, Aventura",Beenox,Activision,30 de outubro de 2007,16 de novembro de 2007,Não lançado,5 de dezembro de 2007
Beijing 2008,Esportes,Eurocom,Sega,8 de julho de 2008,27 de junho de 2008,31 de julho de 2008,26 de junho de 2008
Bejeweled 2,Puzzle & Trivia,PopCap Games,Microsoft Studios,22 de novembro de 2005,-,-,-
Bejeweled 3,Puzzle,PopCap Games,PopCap Games,15 de novembro de 2011,27 de abril de 2012,Não lançado,Não lançado
Bejeweled 3,Puzzle & Trivia,PopCap Games,PopCap Games,19 de outubro de 2011,-,-,-
Bejeweled Blitz Live,Puzzle & Trivia,PopCap Games,PopCap Games,23 de fevereiro de 2011,-,-,-
Bellator: MMA Onslaught,Luta,Kung Fu Factory,345 Games,4 de julho de 2012,-,-,-
Ben 10 Alien Force: Vilgax Attacks,Ação,Papaya Studio,D3 Publisher,27 de outubro de 2009,12 de março de 2010,Não lançado,19 de novembro de 2009
Ben 10 Ultimate Alien: Cosmic Destruction,Ação & Aventura,Papaya Studio,D3 Publisher,19 de outubro de 2010,19 de outubro de 2010,Não lançado,10 de janeiro de 2011
Ben 10: Galactic Racing,Corrida,Monkey Bar Games,D3 Publisher,18 de outubro de 2011,25 de novembro de 2011,Não lançado,24 de novembro de 2011
Ben 10: Omniverse,Ação & Beat 'em up,Vicious Cycle Software,D3 Publisher,13 de novembro de 2012,30 de novembro de 2012,Não lançado,29 de novembro de 2012
Ben 10: Omniverse 2,Ação & Beat 'em up,High Voltage Software,D3 Publisher,5 de novembro de 2013,22 de novembro de 2013,Não lançado,28 de novembro de 2013
Beowulf: The Game,Ação & Hack and slash,Ubisoft,Ubisoft,13 de novembro de 2007,16 de novembro de 2007,Não lançado,22 de novembro de 2007
Beyond Good & Evil HD,-,Ubisoft Shanghai,Ubisoft,2 de março de 2011,-,-,-
Big Bumpin',Corrida & Ação,Blitz Games,King Games,19 de novembro de 2006,Não lançado,Não lançado,Não lançado
Binary Domain,Tiro em terceira pessoa,Ryū ga Gotoku Studios,Sega,28 de fevereiro de 2012,24 de fevereiro de 2012,16 de fevereiro de 2012,23 de fevereiro de 2012
Bionic Commando,"Ação & Aventura, Tiro em terceira pessoa",Grin,Capcom,19 de maio de 2009,22 de maio de 2009,25 de junho de 2009,21 de maio de 2009
Bionic Commando Rearmed,Ação & Aventura,Grin,Capcom,13 de agosto de 2008,-,-,-
Bionic Commando Rearmed 2,Ação & Aventura,Fatshark,Capcom,2 de fevereiro de 2011,-,-,-
Bionicle Heroes,Tiro em terceira pessoa,Traveller's Tales,Eidos Interactive,15 de novembro de 2006,24 de novembro de 2006,Não lançado,1 de dezembro de 2006
BioShock,Tiro em primeira pessoa,2K Boston/2K Australia,"2K Games, SpikeJP",21 de agosto de 2007,24 de agosto de 2007,21 de fevereiro de 2008,22 de novembro de 2013
BioShock 2,Tiro em primeira pessoa,2K Marin,2K Games,9 de fevereiro de 2010,9 de fevereiro de 2010,4 de março de 2010,9 de fevereiro de 2010
BioShock Infinite,Tiro em primeira pessoa,Irrational Games,2K Games,26 de março de 2013,26 de março de 2013,25 de abril de 2013,26 de março de 2013
Birds of Steel,Simulador de combate aéreo,Gaijin Entertainment,Konami,13 de março de 2012,16 de março de 2013,8 de março de 2012,29 de março de 2012
Black College Football: The Xperience,Esportes,Nerjyzed Entertainment,Aspyr,29 de setembro de 2009,Não lançado,Não lançado,Não lançado
Black Knight Sword,Ação & Aventura,Grasshopper Manufacture,D3 Publisher,12 de dezembro de 2012,-,-,-
Blacklight: Tango Down,Tiro,Zombie Studios,Ignition Entertainment,7 de julho de 2010,-,-,-
BlackSite: Area 51,Tiro em primeira pessoa,Midway Games,Midway Games,12 de novembro de 2007,30 de novembro de 2007,Não lançado,29 de novembro de 2007
Blackwater,Tiro em primeira pessoa,Zombie Studios,505 Games,25 de outubro de 2011,4 de novembro de 2011,Não lançado,3 de novembro de 2011
Blade Kitten,Ação & Aventura,Krome Studios,Atari,22 de setembro de 2010,-,-,-
Blades of Time,"Ação, Hack and slash",Gaijin Entertainment,Konami,6 de março de 2012,16 de março de 2012,8 de março de 2012,8 de março de 2012
Bladestorm: The Hundred Years' War,RTT,Omega Force,Koei,6 de novembro de 2007,2 de novembro de 2007,25 de outubro de 2007,15 de novembro de 2007
BlazBlue: Calamity Trigger,Luta,Arc System Works,Arc System Works,30 de julho de 2009,2 de abril de 2010,25 de junho de 2009,26 de março de 2010
BlazBlue: Continuum Shift,Luta,Arc System Works,Arc System Works,27 de julho de 2010,3 de dezembro de 2010,1 de julho de 2010,3 de dezembro de 2010
BlazBlue: Continuum Shift Extend,Luta,Arc System Works,Arc System Works,14 de fevereiro de 2012,22 de fevereiro de 2012,17 de dezembro de 2011,Não lançado
Blazing Angels 2: Secret Missions of WWII,Simulador de combate aéreo,Ubisoft Bucharest,Ubisoft,18 de setembro de 2007,7 de setembro de 2007,19 de março de 2008,6 de setembro de 2007
Blazing Angels: Squadrons of WWII,Simulador de combate aéreo,Ubisoft Bucharest,Ubisoft,23 de março de 2006,31 de março de 2006,Não lançado,30 de março de 2006
Blazing Birds,Esportes & Recreação,Vector 2 Games,Microsoft Studios,20 de maio de 2009,-,-,-
Bliss Island,Puzzle & Trivia,PomPom Games,Codemasters,12 de março de 2008,-,-,-
Blitz: The League,Esportes,Midway Games,Midway Games,13 de novembro de 2006,23 de fevereiro de 2007,Não lançado,Não lançado
Blitz: The League II,Esportes,Midway Games,Midway Games,13 de outubro de 2008,24 de outubro de 2008,Não lançado,Não lançado
Blood Bowl,"Esportes, RTS, Estratégia por turnos",Cyanide Studio,Focus Home Interactive,26 de janeiro de 2010,27 de novembro de 2009,Não lançado,10 de dezembro de 2009
Blood Drive,Combate veicular,Sidhe,Activision,2 de novembro de 2010,19 de novembro de 2010,Não lançado,Não lançado
Blood Knights,Ação & Aventura,Deck13 Interactive,Kalypso Media,1 de novembro de 2013,-,-,-
Blood of the Werewolf,Plataforma,Scientifically Proven,Midnight City,11 de junho de 2014,-,-,-
Bloodforge,Ação & Aventura,Climax Studios,Microsoft Studios,25 de abril de 2012,-,-,-
BloodRayne: Betrayal,Plataforma,WayForward Technologies,Majesco Entertainment,7 de setembro de 2011,-,-,-
Bloody Good Time,Tiro,Outerlight,Ubisoft,28 de outubro de 2010,-,-,-
